v2paid,country_text_id,v2paenname,v2paorname,v2pashname,aliases,year,v2pariglef,v2pariglef_ord,v2xpa_antiplural,v2xpa_popul
1659,AUT,The Greens -- The Green Alternative,,GRUENE,Austrian Greens | DG | Die Grune Alternative | Die Grunen - Die grune Alternative | Die Grüne Alternative | Die Grünen | Die Grünen  Die grüne Alternative | Die Grünen – Die Grüne Alternative | Die Grünen – Die grüne Alternative | Die Grünen — Die grüne Alternative | Die Grünen-Die Grüne Alternative | GA | GAL | GREEN | GRUENE | GRUNE | GRUNEN | GRÜNE | Green Alternatie/Green in Parliament | Green Alternative | Green Party | GreenAT | Greens | Gru | Gruene | Gruene Alternativen | Grüne | Grüne Alternative | The Austrian Green Party | The Green Alternative | The Greens | The Greens - The Green Alternative | The Greens -- The Green Alternative | The Greens Alternative | The Greens – The Green Alternative | The Greens — The Green Alternative | The Greens-Green Alternative | VGO/ALO,2019,-0.929,2.0,0.029,0.297
1970,AUT,NEOS – The New Austria,,NEOS,Das Neue Österreich | Das Neue Österreich und Liberales Forum | NEOS | NEOS - Das Neue Osterreich | NEOS - Das Neue Österreich | NEOS - Das Neue Österreich und Liberales Forum | NEOS - The New Austria and Lib | NEOS - The New Austria and Liberal Forum | NEOS -- The New Austria | NEOS Das Neue Österreich und Liberales Forum | NEOS – Das Neue Österreich | NEOS – Das Neue Österreich und Liberales Forum | NEOS – The New Austria | NEOS — Das Neue Österreich | NEOS — The New Austria | NEOs | New Austria and Liberal Forum | The New Austria | The New Austria and Liberal Forum | das Neue Österreich,2019,1.923,5.0,0.019,0.245
1971,AUT,Team Stronach,,TS,FRANK | STRONACH | Stronach | TEAM STRONACH | TS | Team Frank Stronach | Team Stronach | Team Stronach for Austria | Team Stronach für Österreich | TeamStronach,2013,2.507,5.0,0.505,0.797
1991,AZE,Azerbaijan National Independence Party,,AMIP,AMIP | AMİP | Azerbaijan National Independence Party | Azərbaycan Milli İstiqlal Partiyası,1995,0.73,4.0,0.385,0.55
1992,AZE,Azerbaijan Popular Front,,AXC,AKC | APFP | AXC | Azerbaijan Popular Front | Azerbaijani Popular Front (nationalist) | Azerbaijani Popular Front Party | Azerbaycan Khalq Cabhasi | Azerbaycan Xalq Cebhesi | Azərbaycan Xalq Cebhesi | Azərbaycan Xalq Cəbhəsi Partiyası | PFA | Popular Front of Azerbaijan,2000,0.889,4.0,0.354,0.824
1993,AZE,Azerbaijan Communist Party (1993),Azerbaijani: Азəрбаjҹан Коммунист Партиjасы,ACP,ACP | AKP | AVKP | Azerbaijan Communist Party | Azerbaijan Communist Party (1993) | Azerbaijan United Communist Party | Azərbaycan Kommunist Partiyası | Azərbaycan Vahid Kommunist Partiyası,2000,-1.557,2.0,0.647,0.644
1994,AZE,Civil Solidarity Party,,VHP,Civil Solidarity Party | VHP | Vatandas Hamrayliyi Partiyasi | Vatandas Hamrayliyi Partiyası,2000,0.963,4.0,0.531,0.478
1995,AZE,New Azerbaijan Party,,YAP,NA | New Azaerbaijan Party | New Azerbaijan Party | YAP | Yeni Azerbaycan Partiyasi | Yeni Azərbaycan Partiyası,2015,0.793,4.0,0.996,0.121
7050,AZE,Equality Party,,Musavat,Equality Party | Equality Party / New Musavat | MDP | Mu | Musavat | Musavat Party | Muslim Democratic Party | Müsavat Partiyası | Yeni Musavat Partesi | [Yeni] Müsavat Partiyası,2005,0.506,3.0,0.266,0.851
5263,BDI,Union for National Progress,,UPRONA,Progrès National | UPRONA | Union for National Progress | Union pour le Progrès national,2010,-1.106,2.0,0.252,0.363
5265,BDI,Front for Democracy in Burundi,,FRODEBU,FRODEBU | Frodebu | Frodebu-Nyakuri | Front for Democracy in Burundi | Front pour la D_mocratie au Burundi | Front pour la Démocratie au Burundi | Sahwanya Frodebu Nyakuri,2010,-1.057,2.0,0.496,0.502
5266,BDI,National Council for the Defense of Democracy – Front for the Defense of Democracy,,CNDD-FDD,CNDD | CNDD-FDD | CNDDFDD | Défense de Démocratie | National Council for the Defense of Democracy,2015,0.837,4.0,0.956,0.751
7095,BDI,Independents of Hope,,IE,IE | Independents of Hope,2015,0.131,3.0,0.447,0.491
36,BEL,New Flemish Alliance,,N-VA,"N-VA | N-VA (Nieuw-Vlaamse Alliantie) | N/VA | NFA | NV-A | NVA | New Flemish Alliance | New Flemish Alliance (N-VA) | New-Flemish Alliance | Nieuw-Vlaams Alliantie | Nieuw-Vlaamse Alliantie | Nieuw-Vlaamse Alliantie, N-VA | Peoples Union | Peoples’ Union | People’s Union; New Flemish Alliance | VU | Volksunie | Volksunie; Nieuw-Vlaamse Alliantie",2019,2.173,5.0,0.072,0.537
